date,England,Wales,Scotland,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East England,London,South East,South West
2015-11-01,102.21856501090582,100.28112425369294,100.64405173518782,100.56427292531384,100.82815198664419,100.75175978658038,101.8815460752212,101.43066096698767,102.26700464752669,103.28027105024795,102.08129326383141,101.32891647504611
2015-12-01,102.34422543592625,100.21828364629728,100.60364715954799,100.64380190896532,100.85535696418668,100.75976028865735,102.02385349002955,101.56850920881449,102.4862028548589,103.37874354695742,102.4899061618357,101.11907541390018
2016-01-01,102.73663062922276,100.25137076101014,100.77556688362286,100.86397309068467,100.98721731527212,101.18159604116062,102.30526448673196,101.7759828353841,102.90650634351401,103.92407400652048,102.85945968235612,101.29186459766997
2016-02-01,102.92070723364336,100.24577457714115,100.78548189827762,100.92089431156879,101.01004132616029,101.30399041789313,102.48102290768955,101.89398674207611,103.15644934471548,104.1235208455271,103.09167777354169,101.52374266266139
2016-03-01,103.1307727754629,100.26978430102298,100.71794373743919,100.93968327630824,101.09813466288502,101.27453277143161,102.83957128740721,102.10936816208316,103.3110816263728,104.38602062233939,103.28143329662622,101.8427433930156
2016-04-01,103.39952380680553,100.31065810562542,100.75500335229006,100.968171533388,101.19001020999052,101.39677553350512,103.15360716606467,102.22904761103608,103.63395308855974,104.71913905290945,103.66832869522698,101.94983194393555
2016-05-01,103.59079244354635,100.21113666804425,100.7394592172342,101.05807389438996,101.33030444491024,101.43394673771601,103.1085152890262,102.32601778428847,104.0546177763904,104.8447441686828,104.14395297598938,102.06846811426726
2016-06-01,103.68909577472745,100.15057021473659,100.5340029646171,101.1333991579676,101.28799238515016,101.4928079471761,103.25060933782821,102.40969593198581,104.24882480668191,104.89015784150307,104.32520876265727,102.29942037960878
2016-07-01,103.83584243583716,100.20249121313525,100.68603257654387,101.1946669950658,101.41154435994974,101.70053392885718,103.42911830083843,102.5189825284714,104.44783990539331,104.99595679215739,104.54695478100477,102.43950328929627
2016-08-01,104.11926518049314,100.23956600237189,100.70437928704175,101.33083542188608,101.5433198243924,101.9515871491599,103.55572932267995,102.89259804782421,104.73351115279425,105.32660706717267,104.73830350153746,102.91274188883644
2016-09-01,104.3138611723202,100.21988355818867,100.68263427873245,101.41462123146955,101.71533047459526,102.14162646372667,103.73453223441558,103.10425979534321,104.69905312220573,105.50255990015074,105.09871755759046,103.16023395062828
2016-10-01,104.5220148369088,100.43168541719245,100.59974417457704,101.57487374789858,101.88553989431219,102.183854938636,104.02196018763243,103.4548283975041,105.18647867056892,105.66245623904085,105.21001496202192,103.52110111709922
2016-11-01,104.70491492022447,100.55422108006246,100.72037410389858,101.69800550829748,101.96418415359712,102.34756439921358,104.46507921885757,103.62257447067324,105.41481567179287,105.73485506298465,105.57631291630602,103.79109023461248
2016-12-01,104.89801457631157,100.55997711153654,100.74164186161556,101.7483105642439,102.06103703178859,102.54076344431861,104.8285467947004,103.79256134888448,105.53806871847544,105.84535767443077,106.00362268460506,104.02348066045775
2017-01-01,105.13646259468005,100.68792510717668,100.84135676961364,101.72652325521267,102.21133255442713,102.72228299135351,105.1588932636331,103.96425130735214,106.041910092659,106.0761870446719,106.2684306514829,104.16007364195437
2017-02-01,105.2434668165296,100.76886528397044,100.74118347143275,101.8063780285504,102.26332790761911,102.84563911404479,105.31149277889205,104.17685428735754,106.04035139241044,106.13336770522793,106.49837242974442,104.30886563106019
2017-03-01,105.29403141232312,100.93920342991206,100.60266843335765,101.68404655636985,102.42321600449176,102.93928752113943,105.42374343681054,104.1806273707764,106.25191050066687,106.02717700597549,106.74969530103198,104.42405076856144
2017-04-01,105.43259738410897,100.98891651590426,100.7078727127919,101.660376993315,102.53363439850762,103.1387766630804,105.5617335851882,104.45206705415752,106.41726380281251,106.13833032265678,106.92556558642003,104.52476542012296
2017-05-01,105.53726902384362,101.09400627005702,100.6656360746302,101.64811064047872,102.6606687139029,103.17071226448557,105.67949807094578,104.51802831741168,106.45195153516276,106.25447626641986,107.07092871978983,104.6589732573594
2017-06-01,105.62232535834765,101.25752831973934,100.69700249016478,101.65262676048854,102.7785711547736,103.22874641868505,105.95839979140773,104.66023918624825,106.67991410479347,106.26094959267537,107.2112826608935,104.71148814268756
2017-07-01,105.82141329863899,101.46298345645144,100.85930645517082,101.70565801357516,102.82108525250675,103.35266184742149,106.2893648385711,104.79975054952102,106.90134414574639,106.52565737236704,107.31564759841046,104.97846893124532
2017-08-01,105.91596031769168,101.58437234015251,100.97032658933294,101.71027651654445,102.93946954050095,103.72431493387417,106.4690536831064,104.99020975977098,106.94762372991491,106.54516850872365,107.43311196653083,105.09002749652761
2017-09-01,106.01525344898694,101.59201569490517,100.95128209872779,101.7871652948408,103.08313642737536,103.80222152920288,106.74610103015294,105.07386238657325,107.22992940306251,106.47188276448547,107.68826420575614,105.36076777989601
2017-10-01,106.11778154511107,101.98440179853232,100.95761776677743,101.77894577053293,103.21811980607454,103.90251722218548,107.0653560724845,105.20324788989967,107.38972876791237,106.48636153733273,107.78576478103408,105.66428867475291
2017-11-01,106.18997303213204,101.99794959469286,100.9583786102789,101.68162040115129,103.28602381206429,103.94465610599528,107.33412705570046,105.4567707584659,107.60424487649196,106.3649651485743,108.0355485631996,105.95065735905234
2017-12-01,106.235136999827,102.23699255282793,101.14674572818426,101.81704279109114,103.40130592202057,104.02142434833692,107.59184455417956,105.62290924767532,107.81347889366455,106.23343253509793,108.1502811171784,106.16332375922342
2018-01-01,106.32840934804142,102.1249960802419,101.13393270996842,101.77296282747501,103.52300698718078,104.09576281218938,107.84857575741356,105.76081502327752,108.09014147419911,106.25020909504019,108.21499036389713,106.36985795072063
2018-02-01,106.41536994377879,102.13400992456624,101.12747043795194,101.83672458128842,103.6130747703407,104.27397046472737,107.99141338103813,105.91560567749102,108.24220083312039,106.23948885169932,108.34485921862853,106.53841158272293
2018-03-01,106.44138109792527,102.196038989617,101.26188458616842,101.87910364987663,103.68730212033535,104.3361055403898,108.2750963465679,106.09765073316603,108.2205366023923,106.11174928989793,108.52497686922709,106.60430744014151
2018-04-01,106.51323373965347,102.28794656622513,101.27564668120638,101.79038048452651,103.78433381618046,104.41178598006131,108.52117100073635,106.24241873078162,108.35977302786965,106.08926992278731,108.66686743430903,106.71827767684326
2018-05-01,106.58026226317263,102.32116609384987,101.26389738405726,101.78325341149073,103.83968385909739,104.50676548009999,108.7292298731531,106.29724259340834,108.59827023569844,106.07885762458142,108.76474436639178,106.794038771493
2018-06-01,106.65334177477052,102.38654971554644,101.30178632378046,101.8717806688744,103.9296679006329,104.72836660212417,108.92878917020523,106.40142190331238,108.71997982667656,106.0764038219533,108.82755217302436,106.8941581916971
2018-07-01,106.77093994864752,102.51418487797478,101.35893663094092,101.78904992934712,103.97677973634711,104.77758918211345,109.1615641982361,106.48030746779453,108.801757405481,106.23182636579745,108.96072791291877,107.01463342829052
2018-08-01,106.89623743431676,102.5638331120981,101.43118311207941,101.87151738138446,104.08892409687485,105.11840498833922,109.41655046400989,106.66503261774632,108.95479742445508,106.25390243203515,109.06658289896596,107.27277220347354
2018-09-01,107.02130497118054,102.65092710937847,101.56235897137256,101.94780776313107,104.1437064812089,105.43546614940082,109.8534128991901,106.86679189235333,109.25333703307851,106.26943306611835,109.16558788580592,107.38835230656782
2018-10-01,107.09298744467577,102.74858936429506,101.59439586936791,102.07592599689536,104.21955496948424,105.45151718110387,110.00156508506205,107.1014546256303,109.31093553273463,106.29879791971784,109.20772597415672,107.55326120351849
2018-11-01,107.20225137642086,102.93337603248318,101.46962814728823,102.05488917985713,104.30614987814921,105.74971165760951,110.18139283053243,107.38496888810778,109.44540101436225,106.34773908471296,109.32422601138079,107.60663666366396
